Time (Minutes),Pages Crawled,Keywords Extracted,Pages TODO
0.13137936666666666,168,138,784
0.13174493333333334,169,138,786
0.13206885,170,138,788
0.13231455,171,142,799
0.1326727,172,145,802
0.13341044999999999,173,145,807
0.13463983333333335,174,145,809
0.13494921666666665,175,145,812
0.1352584,176,145,824
0.13550603333333333,177,145,826
0.13589698333333333,178,145,830
0.1361042,179,150,836
0.13640521666666666,180,155,840
0.13665735,181,155,844
0.13700340000000003,182,155,846
0.13751831666666667,183,155,860
0.13776833333333333,184,155,862
0.13805984999999998,185,157,862
0.13843268333333333,186,157,866
0.14095308333333334,188,162,868
0.14123486666666668,189,162,875
0.14152753333333334,190,162,878
0.14258695000000002,191,162,883
0.14409236666666667,192,162,882
0.14535431666666668,194,162,895
0.14578356666666667,195,165,898
0.1458707333333333,196,168,898
0.14611848333333333,197,168,902
0.14741553333333332,198,168,916
0.14772074999999998,199,168,918
0.14811905,200,168,929
0.14840125,201,168,934
0.14856163333333333,202,170,935
0.1497781,203,170,942
0.1504225,204,170,955
0.15067678333333331,205,170,957
0.1510021,206,171,960
0.15178378333333334,207,171,971
0.15193658333333332,208,171,970
0.1527067666666667,209,171,980
0.1528669,210,172,1004
0.15313788333333334,211,172,1007
0.15343286666666664,212,172,1019
0.15441958333333333,213,173,1024
0.15461968333333334,214,173,1023
0.1548885,215,173,1027
0.15631711666666667,216,173,1026
0.15664535,217,173,1040
0.15700633333333333,218,173,1042
0.15733234999999998,219,173,1044
0.15768816666666666,220,173,1046
0.15863096666666668,221,173,1048
0.15878975,222,173,1047
0.15906004999999998,223,173,1049
0.15934968333333333,224,173,1061
0.15965301666666668,225,173,1063
0.1606234666666667,226,173,1075
0.16166136666666667,227,173,1084
0.1619367,228,173,1095
0.16231201666666667,229,173,1097
0.16329200000000002,230,173,1110
0.16354783333333334,231,173,1113
0.16381913333333334,232,173,1116
0.16422098333333332,233,175,1119
0.1644861,234,175,1121
0.16469228333333333,235,178,1127
0.16587581666666665,236,178,1139
0.16614238333333334,237,178,1142
0.1664659666666667,238,178,1144
0.16677048333333333,239,178,1146
0.167019,240,178,1148
0.16712555,241,180,1156
0.1675182,242,180,1158
0.16914158333333335,243,180,1160
0.16946885,244,180,1162
0.16956045,245,180,1161
0.17004858333333334,247,180,1220
0.1703212,248,180,1234
0.1724484666666667,248,183,1452
0.17296738333333334,249,183,1463
0.17330375,250,183,1476
0.17355663333333335,251,183,1478
0.17379483333333334,252,183,1480
0.17405253333333331,253,183,1482
0.17414908333333334,254,186,1482
0.1745315,255,188,1485
0.1762143,257,188,1486
0.17652378333333332,258,188,1488
0.17689926666666667,259,188,1490
0.1771709333333333,260,188,1503
0.17732968333333332,261,191,1502
0.18182973333333333,262,191,1512
0.18207394999999998,263,192,1513
0.18243266666666666,264,192,1516
0.18246155,265,193,1516
0.18342711666666667,266,193,1515
0.18384676666666666,267,193,1519
0.1852845,269,193,1520
0.18563961666666667,270,193,1522
0.18589473333333334,271,193,1524
0.18616015,272,193,1526
0.1864097,273,194,1528
0.18668885,274,194,1538
0.1872897666666667,275,195,1538
0.18861736666666667,276,198,1538
0.18894471666666668,277,198,1545
0.1892807,278,198,1556
0.1895403,279,198,1558
0.18980846666666668,280,198,1562
0.18990638333333332,281,200,1562
0.19014626666666665,282,200,1564
0.19126846666666666,283,200,1575
0.19212985000000002,285,200,1576
0.19238791666666666,286,200,1578
0.19269705,287,200,1583
0.19294546666666665,288,200,1585
0.19320391666666667,289,200,1587
0.19344965,290,200,1590
0.19555145,291,200,1592
0.19589525,292,200,1596
